p;k;vertices;edges;avg_insert;avg_extract;avg_decrease;avg_insert_r;avg_extract_r;avg_decrease_r;avg_time(microseconds)
0.2;10;128;3268.00;128.00;128.00;229.43;0.104644;0.802778;0.059589;180.63;
0.2;11;128;3268.00;128.00;128.00;229.80;0.102344;0.843099;0.060440;203.47;
0.2;12;128;3268.00;128.00;128.00;230.67;0.102865;0.841016;0.055833;115.63;
0.2;13;128;3268.00;128.00;128.00;227.90;0.100521;0.831901;0.056663;137.23;
0.2;14;128;3268.00;128.00;128.00;232.23;0.092448;0.827214;0.051521;145.27;
0.2;15;128;3268.00;128.00;128.00;230.10;0.091406;0.824870;0.050564;145.87;
0.2;16;128;3268.00;128.00;128.00;231.83;0.081771;0.819531;0.046295;147.10;
0.2;17;128;3268.00;128.00;128.00;231.60;0.085938;0.816406;0.047214;136.07;
0.2;18;128;3268.00;128.00;128.00;230.00;0.078646;0.802604;0.042378;118.53;
0.2;19;128;3268.00;128.00;128.00;231.97;0.079557;0.806120;0.042800;154.33;
0.2;20;128;3268.00;128.00;128.00;232.17;0.073698;0.800260;0.039540;149.63;
0.2;21;128;3268.00;128.00;128.00;230.97;0.080208;0.797917;0.040685;150.73;
0.2;22;128;3268.00;128.00;128.00;232.13;0.066667;0.796615;0.038235;152.80;
0.2;23;128;3268.00;128.00;128.00;228.47;0.070052;0.787240;0.039197;152.40;
0.2;24;128;3268.00;128.00;128.00;229.33;0.070182;0.784115;0.036424;153.27;
0.2;25;128;3268.00;128.00;128.00;226.57;0.073437;0.779167;0.038035;157.03;
0.2;26;128;3268.00;128.00;128.00;229.50;0.068750;0.773958;0.036066;153.87;
0.2;27;128;3268.00;128.00;128.00;229.90;0.072005;0.771745;0.037956;153.23;
0.2;28;128;3268.00;128.00;128.00;228.73;0.067187;0.773438;0.033698;157.97;
0.2;29;128;3268.00;128.00;128.00;231.10;0.062630;0.772917;0.032622;158.77;
0.2;30;128;3268.00;128.00;128.00;231.73;0.063281;0.760417;0.032819;158.07;
0.2;31;128;3268.00;128.00;128.00;232.57;0.061458;0.772917;0.034233;171.17;
0.2;32;128;3268.00;128.00;128.00;232.87;0.060286;0.768880;0.033431;158.73;
0.2;33;128;3268.00;128.00;128.00;232.40;0.064974;0.769531;0.031255;159.87;
0.2;34;128;3268.00;128.00;128.00;228.53;0.064714;0.763932;0.029707;160.03;
0.2;35;128;3268.00;128.00;128.00;228.23;0.060677;0.762760;0.029708;160.17;
0.2;36;128;3268.00;128.00;128.00;228.50;0.061719;0.758464;0.027553;162.03;
0.2;37;128;3268.00;128.00;128.00;225.97;0.055469;0.757292;0.027396;160.03;
0.2;38;128;3268.00;128.00;128.00;228.57;0.061719;0.755990;0.027204;162.27;
0.2;39;128;3268.00;128.00;128.00;228.50;0.054948;0.759375;0.026171;160.47;
0.2;40;128;3268.00;128.00;128.00;229.90;0.056641;0.747786;0.027104;160.00;
0.2;41;128;3268.00;128.00;128.00;230.70;0.061849;0.756380;0.023507;160.97;
0.2;42;128;3268.00;128.00;128.00;228.90;0.062240;0.755078;0.029485;165.00;
0.2;43;128;3268.00;128.00;128.00;229.30;0.056510;0.754427;0.025529;161.10;
0.2;44;128;3268.00;128.00;128.00;228.67;0.056120;0.757031;0.026921;151.73;
0.2;45;128;3268.00;128.00;128.00;231.40;0.052474;0.748828;0.026687;169.70;
0.2;46;128;3268.00;128.00;128.00;226.90;0.058333;0.752995;0.023984;162.50;
0.2;47;128;3268.00;128.00;128.00;228.83;0.053646;0.754036;0.022914;163.20;
0.2;48;128;3268.00;128.00;128.00;229.37;0.054427;0.748568;0.024410;163.93;
0.2;49;128;3268.00;128.00;128.00;230.43;0.052083;0.747396;0.024791;169.50;
0.2;50;128;3268.00;128.00;128.00;232.40;0.057813;0.745052;0.024796;163.77;
0.2;51;128;3268.00;128.00;128.00;226.97;0.051432;0.750651;0.023752;162.33;
0.2;52;128;3268.00;128.00;128.00;228.10;0.053646;0.747266;0.021245;129.77;
0.2;53;128;3268.00;128.00;128.00;230.57;0.054036;0.755990;0.023703;148.70;
