p;k;vertices;edges;avg_insert;avg_extract;avg_decrease;avg_insert_r;avg_extract_r;avg_decrease_r;avg_time(microseconds)
0.3;2;64;1164.00;64.00;64.00;103.00;0.173368;0.651363;0.129796;61.57;
0.3;3;64;1164.00;64.00;64.00;104.53;0.166840;0.684115;0.111220;52.07;
0.3;4;64;1164.00;64.00;64.00;102.77;0.162326;0.729774;0.105367;59.20;
0.3;5;64;1164.00;64.00;64.00;101.57;0.136632;0.700174;0.088445;50.73;
0.3;6;64;1164.00;64.00;64.00;104.20;0.131337;0.706510;0.070422;50.83;
0.3;7;64;1164.00;64.00;64.00;105.17;0.127517;0.762760;0.075046;52.80;
0.3;8;64;1164.00;64.00;64.00;102.60;0.118490;0.791927;0.069567;60.50;
0.3;9;64;1164.00;64.00;64.00;102.80;0.108073;0.768489;0.064432;54.80;
0.3;10;64;1164.00;64.00;64.00;103.37;0.115104;0.763542;0.068042;52.03;
0.3;11;64;1164.00;64.00;64.00;103.47;0.110156;0.763542;0.065164;52.07;
0.3;12;64;1164.00;64.00;64.00;100.67;0.107292;0.751562;0.060170;52.00;
0.3;13;64;1164.00;64.00;64.00;102.90;0.103125;0.741927;0.052772;61.43;
0.3;14;64;1164.00;64.00;64.00;100.63;0.105208;0.727865;0.055549;53.03;
0.3;15;64;1164.00;64.00;64.00;102.67;0.105729;0.735417;0.053300;52.57;
0.3;16;64;1164.00;64.00;64.00;100.10;0.096094;0.729427;0.055263;68.60;
0.3;17;64;1164.00;64.00;64.00;102.23;0.100781;0.727604;0.047635;60.23;
0.3;18;64;1164.00;64.00;64.00;103.63;0.090885;0.726823;0.041216;67.90;
0.3;19;64;1164.00;64.00;64.00;102.93;0.097917;0.730208;0.040698;60.73;
0.3;20;64;1164.00;64.00;64.00;101.93;0.086458;0.717448;0.038760;53.57;
0.3;21;64;1164.00;64.00;64.00;102.97;0.092448;0.724740;0.033709;55.43;
0.3;22;64;1164.00;64.00;64.00;102.50;0.081250;0.726302;0.037234;70.03;
0.3;23;64;1164.00;64.00;64.00;103.60;0.102604;0.711719;0.032432;54.23;
0.3;24;64;1164.00;64.00;64.00;102.63;0.089323;0.709896;0.030002;60.53;
0.3;25;64;1164.00;64.00;64.00;100.57;0.071354;0.697135;0.035660;53.77;
0.3;26;64;1164.00;64.00;64.00;99.90;0.072917;0.708333;0.032007;53.70;
0.3;27;64;1164.00;64.00;64.00;103.63;0.072396;0.720313;0.031474;60.53;
0.3;28;64;1164.00;64.00;64.00;100.50;0.080990;0.719271;0.031483;77.23;
0.3;29;64;1164.00;64.00;64.00;101.47;0.078646;0.715365;0.028658;66.93;
0.3;30;64;1164.00;64.00;64.00;102.17;0.077604;0.722135;0.027547;54.13;
0.3;31;64;1164.00;64.00;64.00;100.10;0.069010;0.727083;0.027163;61.93;
0.3;32;64;1164.00;64.00;64.00;101.40;0.066146;0.732292;0.031625;64.60;
