p;k;vertices;edges;avg_insert;avg_extract;avg_decrease;avg_insert_r;avg_extract_r;avg_decrease_r;avg_time(microseconds)
0.5;2;64;2006.00;64.00;64.00;124.03;0.180929;0.652578;0.114007;71.23;
0.5;3;64;2006.00;64.00;64.00;127.77;0.170052;0.692708;0.095239;73.97;
0.5;4;64;2006.00;64.00;64.00;128.40;0.161111;0.734462;0.090770;75.07;
0.5;5;64;2006.00;64.00;64.00;125.27;0.146962;0.707205;0.072295;59.13;
0.5;6;64;2006.00;64.00;64.00;126.37;0.129080;0.700174;0.063373;67.47;
0.5;7;64;2006.00;64.00;64.00;126.57;0.143750;0.725608;0.063133;69.17;
0.5;8;64;2006.00;64.00;64.00;129.17;0.128125;0.791406;0.071409;67.93;
0.5;9;64;2006.00;64.00;64.00;125.90;0.120313;0.770052;0.061381;67.70;
0.5;10;64;2006.00;64.00;64.00;129.10;0.121094;0.770052;0.055041;75.17;
0.5;11;64;2006.00;64.00;64.00;128.67;0.126563;0.764063;0.060629;68.43;
0.5;12;64;2006.00;64.00;64.00;129.57;0.116927;0.755208;0.048567;68.90;
0.5;13;64;2006.00;64.00;64.00;123.43;0.116406;0.747917;0.046137;64.43;
0.5;14;64;2006.00;64.00;64.00;125.73;0.108854;0.747135;0.047476;71.80;
0.5;15;64;2006.00;64.00;64.00;127.40;0.101823;0.737500;0.043053;68.93;
0.5;16;64;2006.00;64.00;64.00;128.47;0.109115;0.732552;0.039578;71.03;
0.5;17;64;2006.00;64.00;64.00;127.00;0.109375;0.729948;0.038367;60.90;
0.5;18;64;2006.00;64.00;64.00;129.00;0.102865;0.716927;0.042860;70.50;
0.5;19;64;2006.00;64.00;64.00;127.90;0.089583;0.724479;0.035931;69.47;
0.5;20;64;2006.00;64.00;64.00;127.17;0.091667;0.714063;0.037265;76.90;
0.5;21;64;2006.00;64.00;64.00;126.53;0.101823;0.713542;0.035286;70.47;
0.5;22;64;2006.00;64.00;64.00;124.70;0.102083;0.717969;0.032623;69.73;
