p;k;vertices;edges;avg_insert;avg_extract;avg_decrease;avg_insert_r;avg_extract_r;avg_decrease_r;avg_time(microseconds)
0.1;2;64;400.00;64.00;64.00;34.97;0.145590;0.629852;0.138987;52.10;
0.1;3;64;400.00;64.00;64.00;33.70;0.140495;0.655642;0.131915;59.37;
0.1;4;64;400.00;64.00;64.00;33.87;0.135677;0.697483;0.139916;48.73;
0.1;5;64;400.00;64.00;64.00;33.67;0.120660;0.667535;0.120822;46.10;
0.1;6;64;400.00;64.00;64.00;34.17;0.120573;0.763455;0.122597;56.90;
0.1;7;64;400.00;64.00;64.00;34.50;0.118229;0.765364;0.121969;43.13;
0.1;8;64;400.00;64.00;64.00;35.20;0.117187;0.744011;0.111462;51.20;
0.1;9;64;400.00;64.00;64.00;34.80;0.100781;0.740365;0.104592;48.90;
0.1;10;64;400.00;64.00;64.00;33.83;0.106771;0.728906;0.092949;46.77;
0.1;11;64;400.00;64.00;64.00;33.63;0.097135;0.716146;0.099804;43.23;
0.1;12;64;400.00;64.00;64.00;32.77;0.099219;0.712760;0.081086;44.20;
0.1;13;64;400.00;64.00;64.00;33.43;0.096614;0.703906;0.086453;46.23;
0.1;14;64;400.00;64.00;64.00;34.97;0.099219;0.701562;0.074737;46.97;
0.1;15;64;400.00;64.00;64.00;33.37;0.089844;0.696094;0.083171;44.73;
0.1;16;64;400.00;64.00;64.00;35.93;0.091406;0.686719;0.079335;44.47;
0.1;17;64;400.00;64.00;64.00;33.10;0.083594;0.686719;0.070392;44.50;
0.1;18;64;400.00;64.00;64.00;33.83;0.084896;0.684115;0.061596;45.90;
0.1;19;64;400.00;64.00;64.00;34.33;0.078125;0.686458;0.075209;44.43;
0.1;20;64;400.00;64.00;64.00;34.23;0.073698;0.657812;0.070029;56.70;
0.1;21;64;400.00;64.00;64.00;34.53;0.074740;0.682813;0.061578;45.70;
0.1;22;64;400.00;64.00;64.00;34.27;0.071615;0.680990;0.062770;46.37;
0.1;23;64;400.00;64.00;64.00;34.83;0.062500;0.687240;0.069246;45.77;
0.1;24;64;400.00;64.00;64.00;33.63;0.067448;0.687500;0.063244;53.60;
0.1;25;64;400.00;64.00;64.00;32.17;0.079687;0.685156;0.060004;44.37;
0.1;26;64;400.00;64.00;64.00;32.83;0.075521;0.697656;0.054325;44.87;
0.1;27;64;400.00;64.00;64.00;31.97;0.071875;0.709115;0.061942;45.80;
0.1;28;64;400.00;64.00;64.00;32.43;0.064583;0.700000;0.061581;44.97;
0.1;29;64;400.00;64.00;64.00;33.77;0.073698;0.715625;0.064531;45.13;
0.1;30;64;400.00;64.00;64.00;34.23;0.070833;0.729427;0.058518;54.47;
0.1;31;64;400.00;64.00;64.00;34.50;0.065365;0.740365;0.054002;45.70;
0.1;32;64;400.00;64.00;64.00;33.27;0.063021;0.747917;0.058975;47.67;
0.1;33;64;400.00;64.00;64.00;32.53;0.072917;0.769010;0.062756;47.77;
0.1;34;64;400.00;64.00;64.00;34.30;0.055208;0.772917;0.052093;45.50;
0.1;35;64;400.00;64.00;64.00;34.23;0.060156;0.797396;0.058186;46.00;
0.1;36;64;400.00;64.00;64.00;34.83;0.061198;0.817708;0.062088;46.00;
0.1;37;64;400.00;64.00;64.00;33.50;0.050521;0.838542;0.070168;48.90;
