p;k;vertices;edges;avg_insert;avg_extract;avg_decrease;avg_insert_r;avg_extract_r;avg_decrease_r;avg_time(microseconds)
0.6;2;64;2415.00;64.00;64.00;141.10;0.190399;0.646528;0.128241;78.63;
0.6;3;64;2415.00;64.00;64.00;143.77;0.170746;0.683029;0.113644;65.93;
0.6;4;64;2415.00;64.00;64.00;142.93;0.165451;0.735243;0.108047;66.03;
0.6;5;64;2415.00;64.00;64.00;141.40;0.155295;0.707639;0.085120;72.13;
0.6;6;64;2415.00;64.00;64.00;142.03;0.142101;0.708680;0.072440;64.70;
0.6;7;64;2415.00;64.00;64.00;140.30;0.140451;0.729167;0.077371;82.57;
0.6;8;64;2415.00;64.00;64.00;140.90;0.142448;0.783333;0.077765;73.17;
0.6;9;64;2415.00;64.00;64.00;142.67;0.137500;0.772135;0.075349;73.03;
0.6;10;64;2415.00;64.00;64.00;141.13;0.116927;0.749739;0.064958;73.57;
0.6;11;64;2415.00;64.00;64.00;142.80;0.135938;0.742188;0.063879;65.53;
0.6;12;64;2415.00;64.00;64.00;142.57;0.124740;0.729948;0.055046;65.50;
0.6;13;64;2415.00;64.00;64.00;140.83;0.120052;0.725521;0.046242;87.77;
0.6;14;64;2415.00;64.00;64.00;144.20;0.113542;0.721094;0.045789;69.23;
0.6;15;64;2415.00;64.00;64.00;138.87;0.108594;0.724740;0.049125;72.93;
0.6;16;64;2415.00;64.00;64.00;140.10;0.102083;0.719271;0.046215;76.30;
0.6;17;64;2415.00;64.00;64.00;142.27;0.110938;0.707552;0.045022;75.87;
0.6;18;64;2415.00;64.00;64.00;138.87;0.097917;0.697656;0.036111;65.03;
0.6;19;64;2415.00;64.00;64.00;141.90;0.090104;0.695833;0.035661;74.07;
0.6;20;64;2415.00;64.00;64.00;143.17;0.091406;0.714062;0.042519;66.50;
0.6;21;64;2415.00;64.00;64.00;142.70;0.095573;0.713542;0.035975;66.53;
0.6;22;64;2415.00;64.00;64.00;139.53;0.094531;0.713802;0.037224;66.67;
0.6;23;64;2415.00;64.00;64.00;139.33;0.098438;0.708073;0.038042;77.13;
0.6;24;64;2415.00;64.00;64.00;140.37;0.082552;0.703906;0.035615;67.67;
0.6;25;64;2415.00;64.00;64.00;141.43;0.082552;0.694531;0.033491;67.10;
0.6;26;64;2415.00;64.00;64.00;139.37;0.093229;0.714844;0.033058;68.40;
0.6;27;64;2415.00;64.00;64.00;141.57;0.090885;0.705729;0.034834;67.83;
