p;k;vertices;edges;avg_insert;avg_extract;avg_decrease;avg_insert_r;avg_extract_r;avg_decrease_r;avg_time(microseconds)
0.4;2;64;1603.00;64.00;64.00;108.90;0.186068;0.648411;0.121114;66.33;
0.4;3;64;1603.00;64.00;64.00;111.10;0.161979;0.685417;0.095840;70.87;
0.4;4;64;1603.00;64.00;64.00;113.33;0.155035;0.726042;0.094624;68.37;
0.4;5;64;1603.00;64.00;64.00;110.30;0.139496;0.694792;0.070412;62.43;
0.4;6;64;1603.00;64.00;64.00;107.30;0.136198;0.703472;0.063835;68.93;
0.4;7;64;1603.00;64.00;64.00;111.03;0.133767;0.743837;0.062377;69.70;
0.4;8;64;1603.00;64.00;64.00;110.63;0.123958;0.803125;0.068430;55.10;
0.4;9;64;1603.00;64.00;64.00;112.00;0.117708;0.777865;0.060498;62.70;
0.4;10;64;1603.00;64.00;64.00;111.00;0.111979;0.776042;0.058583;66.63;
0.4;11;64;1603.00;64.00;64.00;109.70;0.099479;0.766927;0.053250;64.80;
0.4;12;64;1603.00;64.00;64.00;111.60;0.113802;0.759115;0.046701;62.77;
0.4;13;64;1603.00;64.00;64.00;111.23;0.106510;0.747917;0.046758;68.10;
0.4;14;64;1603.00;64.00;64.00;111.13;0.095573;0.753906;0.042539;63.60;
0.4;15;64;1603.00;64.00;64.00;111.73;0.106510;0.750000;0.042106;69.87;
0.4;16;64;1603.00;64.00;64.00;110.43;0.095833;0.751563;0.042211;71.27;
0.4;17;64;1603.00;64.00;64.00;110.27;0.088542;0.733333;0.034584;64.80;
0.4;18;64;1603.00;64.00;64.00;111.10;0.089844;0.723698;0.035760;57.93;
0.4;19;64;1603.00;64.00;64.00;107.77;0.083594;0.728906;0.033201;57.83;
0.4;20;64;1603.00;64.00;64.00;109.60;0.082552;0.718490;0.029648;62.20;
0.4;21;64;1603.00;64.00;64.00;110.57;0.083854;0.732813;0.033081;67.53;
0.4;22;64;1603.00;64.00;64.00;108.43;0.082812;0.708073;0.029182;81.33;
0.4;23;64;1603.00;64.00;64.00;112.30;0.083594;0.711198;0.029502;68.73;
